minutes:seconds,run_1_gold,run_1_goldMine,run_2_gold,run_2_goldMine,run_3_gold,run_3_goldMine,run_4_gold,run_4_goldMine,run_5_gold,run_5_goldMine
0:01,280.0,0.0,130.0,1.0,130.0,1.0,130.0,1.0,130.0,1.0
0:02,285.0,0.0,136.0,1.0,136.0,1.0,136.0,1.0,136.0,1.0
0:03,290.0,0.0,141.0,1.0,141.0,1.0,141.0,1.0,141.0,1.0
0:04,295.0,0.0,147.0,1.0,147.0,1.0,147.0,1.0,147.0,1.0
0:05,300.0,0.0,152.0,1.0,152.0,1.0,152.0,1.0,152.0,1.0
0:06,305.0,0.0,158.0,1.0,158.0,1.0,158.0,1.0,158.0,1.0
0:07,310.0,0.0,163.0,1.0,163.0,1.0,163.0,1.0,163.0,1.0
0:08,315.0,0.0,169.0,1.0,169.0,1.0,169.0,1.0,169.0,1.0
0:09,320.0,0.0,174.0,1.0,174.0,1.0,174.0,1.0,174.0,1.0
0:10,325.0,0.0,180.0,1.0,180.0,1.0,180.0,1.0,180.0,1.0
0:11,330.0,0.0,185.0,1.0,185.0,1.0,185.0,1.0,185.0,1.0
0:12,335.0,0.0,191.0,1.0,191.0,1.0,191.0,1.0,191.0,1.0
0:13,340.0,0.0,196.0,1.0,196.0,1.0,196.0,1.0,196.0,1.0
0:14,345.0,0.0,202.0,1.0,202.0,1.0,202.0,1.0,202.0,1.0
0:15,350.0,0.0,207.0,1.0,207.0,1.0,207.0,1.0,207.0,1.0
0:16,355.0,0.0,213.0,1.0,213.0,1.0,213.0,1.0,213.0,1.0
0:17,360.0,0.0,218.0,1.0,218.0,1.0,218.0,1.0,218.0,1.0
0:18,365.0,0.0,224.0,1.0,224.0,1.0,224.0,1.0,224.0,1.0
0:19,370.0,0.0,229.0,1.0,229.0,1.0,229.0,1.0,229.0,1.0
0:20,375.0,0.0,235.0,1.0,235.0,1.0,235.0,1.0,235.0,1.0
0:21,380.0,0.0,240.0,1.0,240.0,1.0,240.0,1.0,240.0,1.0
0:22,385.0,0.0,246.0,1.0,246.0,1.0,246.0,1.0,246.0,1.0
0:23,390.0,0.0,251.0,1.0,251.0,1.0,251.0,1.0,251.0,1.0
0:24,395.0,0.0,257.0,1.0,257.0,1.0,257.0,1.0,257.0,1.0
0:25,400.0,0.0,262.0,1.0,262.0,1.0,262.0,1.0,262.0,1.0
0:26,405.0,0.0,268.0,1.0,268.0,1.0,268.0,1.0,268.0,1.0
0:27,410.0,0.0,273.0,1.0,273.0,1.0,273.0,1.0,273.0,1.0
0:28,415.0,0.0,279.0,1.0,279.0,1.0,279.0,1.0,279.0,1.0
